lattice_const,energy
6.41, -24.04562851
6.42, -24.04746336
6.43, -24.04922614
6.44, -24.05092636
6.45, -24.05257108
6.46, -24.05415974
6.47, -24.05567664
6.48, -24.05714627
6.49, -24.05852788
6.5, -24.05986696
6.51, -24.06115086
6.52, -24.06235658
6.53, -24.06352810
6.54, -24.06462327
6.55, -24.06566882
6.56, -24.06665695
6.57, -24.06759773
6.58, -24.06846434
6.59, -24.06927684
6.6, -24.07005654
6.61, -24.07076335
6.62, -24.07142181
6.63, -24.07203299
6.64, -24.07258770
6.65, -24.07308976
6.66, -24.07355171
6.67, -24.07394905
6.68, -24.07431139
6.69, -24.07461808
6.7, -24.07487660
6.71, -24.07508936
6.72, -24.07525559
6.73, -24.07537416
6.74, -24.07544836
6.75, -24.07547918
6.76, -24.07546086
6.77, -24.07539734
6.78, -24.07528683
6.79, -24.07513354
6.8, -24.07494306
6.81, -24.07470950
6.82, -24.07443309
6.83, -24.07410999
6.84, -24.07375869
6.85, -24.07336504
6.86, -24.07292603
6.87, -24.07244320
6.88, -24.07193927
6.89, -24.07138876
6.9, -24.07079196
6.91, -24.07016100
6.92, -24.06949305
6.93, -24.06878669
6.94, -24.06805141
6.95, -24.06728032
6.96, -24.06646610
6.97, -24.06562522
6.98, -24.06474830
6.99, -24.06385119
7.0, -24.06290361
7.01, -24.06192506
7.02, -24.06091426
7.03, -24.05987155
7.04, -24.05880131
7.05, -24.05770342
7.06, -24.05656902
7.07, -24.05540485
7.08, -24.05421180
7.09, -24.05299226
